system_type,gf_exp,vec_len,num_messages,test_type,tag_pos,num_tags,num_validation_messages,false_positives,avg_execution_time_ms,false_positive_rate,reliability,timestamp
RSID,8,125,100,,,,,0,0.005834233080450859,0.0,0,2025-07-01T08:48:10.065041
RMID,8,125,100,,,,,1,0.006053696246582525,0.010101010101010102,0,2025-07-01T08:48:10.095475
SHA1ID,8,125,100,,,,,0,0.011402767003429208,0.0,0,2025-07-01T08:48:10.134192
RSID,16,125,100,,,,,0,0.004940898648011639,0.0,0,2025-07-01T08:48:10.275079
RMID,16,125,100,,,,,0,0.0033235251480205493,0.0,0,2025-07-01T08:48:10.377483
SHA1ID,16,125,100,,,,,0,0.004719656620485087,0.0,0,2025-07-01T08:48:10.399248
RSID,32,125,100,,,,,0,0.005919827886791241,0.0,0,2025-07-01T08:48:10.431331
RMID,32,125,100,,,,,0,0.004464797904912495,0.0,0,2025-07-01T08:48:10.456971
SHA1ID,32,125,100,,,,,0,0.00802879742078596,0.0,0,2025-07-01T08:48:10.487670
RSID,64,125,100,,,,,0,0.003064888667061248,0.0,0,2025-07-01T08:48:10.506297
SHA1ID,64,125,100,,,,,0,0.007247069416652349,0.0,0,2025-07-01T08:48:10.543721
