system_type,gf_exp,vec_len,num_messages,test_type,tag_pos,num_tags,num_validation_messages,avg_execution_time_ms,false_positive_rate,false_positives,reliability,code_rate,timestamp
RSID,8,2,100,,,,,0.001855950386291652,0.010101010101010102,1,0,0,2025-07-01T08:03:52.781231
RSID,8,4,100,,,,,0.0021317274065105,0.0,0,0,0,2025-07-01T08:03:52.794106
RSID,8,8,100,,,,,0.004405767252348891,0.010101010101010102,1,0,0,2025-07-01T08:03:52.811552
RSID,8,16,100,,,,,0.005258201395697666,0.0,0,0,0,2025-07-01T08:03:52.827824
RSID,16,2,100,,,,,0.0018499292741350904,0.0,0,0,0,2025-07-01T08:03:52.940489
RSID,16,4,100,,,,,0.0018251723506384427,0.0,0,0,0,2025-07-01T08:03:53.042500
RSID,16,8,100,,,,,0.0019393644631943768,0.0,0,0,0,2025-07-01T08:03:53.152283
RSID,16,16,100,,,,,0.0020745251506491744,0.0,0,0,0,2025-07-01T08:03:53.253322
RSID,32,4,100,,,,,0.002010534940795465,0.0,0,0,0,2025-07-01T08:03:53.265038
RSID,32,8,100,,,,,0.00486214162494912,0.0,0,0,0,2025-07-01T08:03:53.282192
RSID,32,16,100,,,,,0.006439504560525294,0.0,0,0,0,2025-07-01T08:03:53.309564
RSID,64,8,100,,,,,0.008391130555684518,0.0,0,0,0,2025-07-01T08:03:53.340746
RSID,64,16,100,,,,,0.004513576218736067,0.0,0,0,0,2025-07-01T08:03:53.372967
RMID,8,2,100,,,,,0.00832227324464857,0.0,0,0,0,2025-07-01T08:03:53.398608
RMID,8,4,100,,,,,0.004509768026617515,0.0,0,0,0,2025-07-01T08:03:53.425051
RMID,8,8,100,,,,,0.004533525571612773,0.010101010101010102,1,0,0,2025-07-01T08:03:53.465479
RMID,8,16,100,,,,,0.002970323119444227,0.0,0,0,0,2025-07-01T08:03:53.493702
RMID,16,2,100,,,,,0.0026006866869695408,0.0,0,0,0,2025-07-01T08:03:53.627013
RMID,16,4,100,,,,,0.0027504139885569765,0.0,0,0,0,2025-07-01T08:03:53.724603
RMID,16,8,100,,,,,0.0027345346152838883,0.0,0,0,0,2025-07-01T08:03:53.823326
RMID,16,16,100,,,,,0.002671060777937222,0.0,0,0,0,2025-07-01T08:03:53.930322
RMID,32,4,100,,,,,0.0031529794943359014,0.0,0,0,0,2025-07-01T08:03:53.942621
RMID,32,8,100,,,,,0.005625242148667123,0.0,0,0,0,2025-07-01T08:03:53.961247
RMID,32,16,100,,,,,0.004470757134682076,0.0,0,0,0,2025-07-01T08:03:53.980135
SHA1ID,8,2,100,,,,,0.00282345387280326,0.0,0,0,0,2025-07-01T08:03:54.191346
SHA1ID,8,4,100,,,,,0.004556574482433122,0.0,0,0,0,2025-07-01T08:03:54.210868
SHA1ID,8,8,100,,,,,0.0031021208445908446,0.010101010101010102,1,0,0,2025-07-01T08:03:54.232891
SHA1ID,8,16,100,,,,,0.005829313798158458,0.0,0,0,0,2025-07-01T08:03:54.253385
SHA1ID,16,2,100,,,,,0.004423414756816746,0.0,0,0,0,2025-07-01T08:03:54.269887
SHA1ID,16,4,100,,,,,0.0058410904132714025,0.0,0,0,0,2025-07-01T08:03:54.295455
SHA1ID,16,8,100,,,,,0.0028106251101225914,0.0,0,0,0,2025-07-01T08:03:54.325912
SHA1ID,16,16,100,,,,,0.006222798614856796,0.0,0,0,0,2025-07-01T08:03:54.348369
SHA1ID,32,4,100,,,,,0.0029050717436040594,0.0,0,0,0,2025-07-01T08:03:54.370431
SHA1ID,32,8,100,,,,,0.002872970071621239,0.0,0,0,0,2025-07-01T08:03:54.397410
SHA1ID,32,16,100,,,,,0.0032301108185860392,0.0,0,0,0,2025-07-01T08:03:54.417129
SHA1ID,64,8,100,,,,,0.005156030047054619,0.0,0,0,0,2025-07-01T08:03:54.445887
SHA1ID,64,16,100,,,,,0.0033543533069373232,0.0,0,0,0,2025-07-01T08:03:54.463876
SHA256ID,8,2,100,,,,,0.034921958829709,0.0,0,0,0,2025-07-01T08:03:54.493897
SHA256ID,8,4,100,,,,,0.004693829028801334,0.0,0,0,0,2025-07-01T08:03:54.514199
SHA256ID,8,8,100,,,,,0.005277333636485943,0.010101010101010102,1,0,0,2025-07-01T08:03:54.536114
SHA256ID,8,16,100,,,,,0.01244787879363455,0.0,0,0,0,2025-07-01T08:03:54.575740
SHA256ID,16,2,100,,,,,0.00895551482869331,0.0,0,0,0,2025-07-01T08:03:54.603151
SHA256ID,16,4,100,,,,,0.006258485349591332,0.0,0,0,0,2025-07-01T08:03:54.629200
SHA256ID,16,8,100,,,,,0.005771778171148264,0.0,0,0,0,2025-07-01T08:03:54.651928
SHA256ID,16,16,100,,,,,0.00765118227608389,0.0,0,0,0,2025-07-01T08:03:54.670353
SHA256ID,32,4,100,,,,,0.006524119978874094,0.0,0,0,0,2025-07-01T08:03:54.710218
SHA256ID,32,8,100,,,,,0.007581736420920928,0.0,0,0,0,2025-07-01T08:03:54.734206
SHA256ID,32,16,100,,,,,0.015598949047294681,0.0,0,0,0,2025-07-01T08:03:54.764545
SHA256ID,64,8,100,,,,,0.005297626061788337,0.0,0,0,0,2025-07-01T08:03:54.790530
SHA256ID,64,16,100,,,,,0.010559696944035364,0.0,0,0,0,2025-07-01T08:03:54.816115
